Country,gdp_total_usd_billion_cleaned,GDP_total_Year,GDP_per_capita_nominal_cleaned,GDP_per_capita_ppp_cleaned,GDP_growth_rate_cleaned,Inflation_rate_cleaned,Unemployment_rate_cleaned,Exports_Cleaned_Billion,Imports_Cleaned_Billion,Gov_Debt_Percent_GDP_Cleaned,Gov_Debt_Absolute_Billion_Cleaned,clean_currency,Links,Trade_Balance,Trade_Openness,GDP_Capita_Ratio,Debt_to_Income,Import_Export_Ratio,Is_Eurozone,Is_USD_Pegged,gdp_total_usd_billion_cleaned_log,GDP_per_capita_nominal_cleaned_log,GDP_per_capita_ppp_cleaned_log,Exports_Cleaned_Billion_log,Imports_Cleaned_Billion_log,Gov_Debt_Absolute_Billion_Cleaned_log,cluster,economic_class,scraped_paragraph,summary
Russia,2076.4,2024,14260.0,49380.0,2.0,3.99,2.6,465.43,378.61,38.3975,66.02,Russian ruble (RUB),https://en.wikipedia.org/wiki/Economy_of_Russia,5.345000000000003,40.6492005393951,0.33373301294282776,0.001059967567033665,0.8899957933786953,0,0,7.638872390793711,9.565283817736766,10.80732101380793,6.145107955437664,5.939144409908282,4.2049910823091645,3,Developed,"The economy of Russia is an emerging and developing , [ 2 ] high-income , [ 28 ] industrialized, [ 29 ] mixed market-oriented economy. [ 30 ] It has the eleventh-largest economy in the world by nominal GDP and the fourth-largest economy by GDP ( PPP ). [ 7 ] Due to a volatile currency exchange rate , its GDP measured in nominal terms fluctuates sharply. [ 31 ] Russia was the last major economy to join the World Trade Organization (WTO), becoming a member in 2012. [ 32 ]","Russia has an emerging and developing high-income, mixed market-oriented economy, ranking eleventh in the world by nominal GDP and fourth by GDP (PPP). Its economy is characterized by volatility in the currency exchange rate, leading to fluctuations in nominal GDP. Russia became a member of the World Trade Organization in 2012, being the last major economy to join."
Spain,1799.51,2024,36192.0,56555.0,2.5,2.7,10.29,616.0,552.0,63.9,1810.0,Euro (EUR),https://en.wikipedia.org/wiki/GDP_of_Spain,5.345000000000003,64.90655789631622,0.61993269397237,0.0017787993988153123,0.8961038961038961,1,0,7.49582523708628,10.496621008949695,10.942986576711732,6.424869023905388,6.315358001522335,7.501634457883413,1,Developed,"The economy of Spain is a highly developed social market economy . [ 36 ] It is the world's 12th largest by nominal GDP and the sixth-largest in Europe (fifth excluding Russia). Spain is a member of the European Union and the eurozone , as well as the Organization for Economic Co-operation and Development and the World Trade Organization . In 2023, Spain was the 18th-largest exporter in the world. Meanwhile, in 2022, Spain was the 15th-largest importer in the world. Spain is listed 27th in the United Nations Human Development Index and 29th in GDP per capita by the International Monetary Fund . Some main areas of economic activity are the automotive industry , medical technology , chemicals , shipbuilding , tourism and the textile industry . Among OECD members, Spain has a highly efficient and strong social security system , which comprises roughly 23% of GDP . [ 4 ] [ 37 ] [ 3 ]","Spain has a highly developed economy, ranking 12th globally by nominal GDP and 6th in Europe. It is a member of key international organizations such as the EU, eurozone, OECD, and WTO. Key economic sectors include automotive, medical technology, chemicals, shipbuilding, tourism, and textiles, supported by a robust social security system comprising around 23% of GDP."
South Korea,1790.32,2024,34640.0,65110.0,2.0,2.7,6.0,683.7,632.1,39.8,66.02,South Korean won (KRW),https://en.wikipedia.org/wiki/Economy_of_South_Korea,5.345000000000003,73.49524107422138,0.5320227307633236,0.001059967567033665,0.9245283018867925,0,0,7.490708057234371,10.452793230619966,11.083848784736833,6.5289807861270175,6.450628387550081,4.2049910823091645,1,Developed,"The economy of South Korea is a highly developed mixed economy . [ 21 ] [ 22 ] [ 23 ] By nominal GDP, the economy was worth ₩2.61 quadrillion (US$1.87 trillion). It has the 4th largest economy in Asia and the 13th largest in the world as of 2025. [ 5 ] South Korea is notable for its rapid economic development from an underdeveloped nation to a developed, high-income country in a few decades. This economic growth has been described as the Miracle on the Han River , [ 24 ] which has allowed it to join the OECD and the G20 . It is included in the group of Next Eleven countries as having the potential to play a dominant role in the global economy by the middle of the 21st century. [ 25 ] Among OECD members, South Korea has a highly efficient and strong social security system ; social expenditure stood at roughly 15.5% of GDP . [ 26 ] [ 27 ] [ 28 ] South Korea spends around 4.93% of GDP on advanced research and development across various sectors of the economy. [ 29 ] [ 30 ]","South Korea boasts a highly developed mixed economy with a nominal GDP of ₩2.61 quadrillion (US$1.87 trillion), making it the 4th largest economy in Asia and the 13th largest globally as of 2025. The country's rapid economic growth, known as the Miracle on the Han River, has propelled it from an underdeveloped nation to a high-income country, leading to its inclusion in the OECD and the G20. South Korea also maintains a robust social security system, with social expenditure accounting for approximately 15.5% of GDP, and allocates around 4.93% of GDP to advanced research and development across various sectors."
Australia,1771.68,2024,64547.0,72138.0,2.0,2.7,4.2,644.4,614.1,63.9,66.02,Australian Dollar (AUD),https://en.wikipedia.org/wiki/Economy_of_Australia,5.345000000000003,71.03427255486318,0.61993269397237,0.001059967567033665,0.9529795158286779,0,0,7.480247804731239,11.075164412061243,11.186350092426327,6.4698702796178615,6.421784856214322,4.2049910823091645,1,Developed,"Australia is a highly developed country with a mixed economy . [ 30 ] [ 31 ] As of 2023, Australia was the 14th-largest national economy by nominal GDP ( gross domestic product ), [ 32 ] the 19th-largest by PPP-adjusted GDP, [ 33 ] and was the 21st-largest goods exporter and 24th-largest goods importer . [ 34 ] Australia took the record for the longest run of uninterrupted GDP growth in the developed world with the March 2017 financial quarter . It was the 103rd quarter and the 26th year since the country had a technical recession . [ a ] [ 35 ] As of June 2021, the country's GDP was estimated at $1.98 trillion. [ 36 ]","Australia has a highly developed mixed economy, ranking 14th in the world by nominal GDP and 19th by PPP-adjusted GDP as of 2023. The country also holds the record for the longest uninterrupted GDP growth in the developed world, with no technical recession since March 2017. As of June 2021, Australia's GDP was estimated at $1.98 trillion."
Mexico,1692.64,2024,12690.0,25460.0,2.0,3.59,2.5,680.79,697.06,54.3,66.02,Mexican peso (MXN),https://en.wikipedia.org/wiki/GDP_of_Mexico,-4.572750000000001,79.94575223049205,0.49842890809112333,0.0021327572663000787,1.0238987059151867,0,0,7.43463533786957,9.448648359810164,10.144903148637786,6.524721692538452,6.54830505895342,4.2049910823091645,3,Developing (Upper),"The economy of Mexico is a developing mixed-market economy . [ 24 ] It is the 13th largest in the world in nominal GDP terms and by purchasing power parity as of 2024. [ 25 ] Since the 1994 crisis , administrations have improved the country's macroeconomic fundamentals . Mexico was not significantly influenced by the 2002 South American crisis and maintained positive, although low, rates of growth after a brief period of stagnation in 2001. However, Mexico was one of the Latin American nations most affected by the 2008 recession , with its gross domestic product contracting by more than 6% that year. Among OECD nations, Mexico has a fairly strong social security system ; social expenditure stood at roughly 7.5% of GDP . [ 26 ] [ 27 ] [ 28 ]","Mexico's economy is the 13th largest in the world by nominal GDP and purchasing power parity as of 2024. The country has made improvements in its macroeconomic fundamentals since the 1994 crisis, but was significantly impacted by the 2008 recession with a contraction of over 6% in GDP. Mexico also boasts a relatively strong social security system compared to other OECD nations, with social expenditure accounting for approximately 7.5% of GDP."
Turkey,1437.41,2024,16709.0,42451.0,2.7,3.99,8.5,261.9,344.1,38.3975,66.02,Turkish lira (TRY),https://en.wikipedia.org/wiki/Economy_of_Turkey,-4.572750000000001,42.15916126922729,0.3936067466019646,0.001059967567033665,1.3138602520045821,0,0,7.271293615862266,9.72376262158944,10.656129304881713,5.571773731735836,5.843834230103957,4.2049910823091645,3,Developed,"The economy of Turkey is an emerging free-market economy . [ 38 ] It ranked as the 16th-largest in the world and 7th-largest in Europe by nominal GDP in 2025. [ 8 ] It also ranked as the 12th-largest in the world and 5th-largest in Europe by PPP in 2025. [ 8 ] Turkey's rapid economic growth since the 2000s was stranded by the economic crisis in 2018, but it began to recover in 2021. [ 8 ] [ 39 ] Turkey's USD -based nominal GDP per capita and GDP-PPP per capita have eventually reached their all-time peak values in 2024. [ 8 ] [ 39 ] [ 40 ]","Turkey's economy is an emerging free-market economy that ranked 16th globally and 7th in Europe by nominal GDP in 2025. Despite facing economic challenges in 2018, Turkey began to recover in 2021, with its GDP per capita reaching peak values in 2024. The country also ranked 12th globally and 5th in Europe by GDP-PPP in 2025."
Indonesia,1429.74,2024,5030.0,17610.0,4.0775,2.7,4.82,298.2,268.3,38.6,66.02,Rupiah (IDR),https://en.wikipedia.org/wiki/Economy_of_Indonesia,5.345000000000003,39.62258872242506,0.33373301294282776,0.0021919363997728565,0.8997317236753857,0,0,7.265947071923532,8.523374050491318,9.776278985795086,5.7011122461003225,5.595825999817554,4.2049910823091645,3,Developing (Upper),"The economy of Indonesia is a mixed economy with dirigiste characteristics, [ 28 ] [ 29 ] and it is one of the emerging market economies in the world and the largest in Southeast Asia . As an upper-middle income country and member of the G20 , Indonesia is classified as a newly industrialized country . [ 30 ] Indonesia's nominal GDP reached 22.139 quadrillion rupiah in 2024; it is the 16th largest economy in the world by nominal GDP and the 7th largest in terms of GDP (PPP) . Indonesia's internet economy reached US$77 billion in 2022, and is expected to cross the US$130 billion mark by 2025. [ 31 ]","Indonesia's economy is a mixed economy with dirigiste characteristics, making it one of the emerging market economies and the largest in Southeast Asia. As an upper-middle income country and a member of the G20, Indonesia is considered a newly industrialized country. The country's nominal GDP reached 22.139 quadrillion rupiah in 2024, ranking as the 16th largest economy in the world by nominal GDP and the 7th largest in terms of GDP (PPP). Additionally, Indonesia's internet economy was valued at US$77 billion in 2022 and is projected to exceed US$130 billion by 2025."
Netherlands,1272.01,2024,70480.0,84570.0,2.0,2.7,6.0,610.0,710.0,48.6,394.63,Euro (EUR),https://en.wikipedia.org/wiki/Economy_of_the_Netherlands,-4.572750000000001,79.94575223049205,0.61993269397237,0.001059967567033665,1.1639344262295082,1,0,7.149139453986097,11.163098448931654,11.345346697230422,6.415096959171596,6.566672429803241,5.980479431049226,1,Developed,"The economy of the Netherlands is a highly developed market economy focused on trade and logistics , manufacturing , services , innovation and technology and sustainable and renewable energy . [ 22 ] [ 23 ] It is the world's 18th largest economy by nominal GDP and the 28th largest by purchasing power parity (PPP) and is the fifth largest economy in European Union by nominal GDP. [ 24 ] It has the world's 11th highest per capita GDP (nominal) and the 13th highest per capita GDP (PPP) as of 2023 making it one of the highest earning nations in the world. Many of the world's largest tech companies are based in its capital Amsterdam or have established their European headquarters in the city, such as IBM , Microsoft , Google , Oracle , Cisco , Uber and Netflix . [ 25 ] [ 26 ] Its second largest city Rotterdam is a major trade, logistics and economic center of the world and is Europe's largest seaport . [ 27 ] Netherlands is ranked fifth on global innovation index and fourth on the Global Competitiveness Report . Among OECD nations, Netherlands has a highly efficient and strong social security system; social expenditure stood at roughly 25.3% of GDP . [ 28 ] [ 29 ] [ 30 ]","The Netherlands has a highly developed market economy with a focus on trade, logistics, manufacturing, services, innovation, technology, and sustainable energy. It ranks as the world's 18th largest economy by nominal GDP and the fifth largest in the European Union. The country boasts high per capita GDP figures, hosts major tech companies in Amsterdam, and is known for its efficient social security system."
Saudi Arabia,1083.75,2024,33291.0,65880.0,4.0775,2.7,4.88,370.974,291.565,38.3975,66.02,Saudi Riyal,https://en.wikipedia.org/wiki/Economy_of_Saudi_Arabia,5.345000000000003,61.133933102652826,0.5053278688524591,0.001059967567033665,0.8899957933786953,0,0,6.98910482467846,10.413072406865986,11.095605363289915,5.918823959357436,5.6786868642064325,4.2049910823091645,3,Developed,"The economy of Saudi Arabia is high-income , developing , and is highly reliant on its petroleum sector . Oil & gas account for approximately 22.3% of Saudi GDP [ 14 ] and 55% of government revenue, with substantial fluctuations depending on oil prices each year. [ 15 ]","Saudi Arabia has a high-income developing economy heavily dependent on its petroleum sector, with oil and gas contributing to 22.3% of GDP and 55% of government revenue. The economy is susceptible to fluctuations in oil prices, impacting its overall financial stability."
Poland,979.96,2024,26810.0,55190.0,3.2,3.99,6.0,469.3,419.701,49.6,1700.0,Polish złoty (PLN),https://en.wikipedia.org/wiki/Economy_of_Poland,5.345000000000003,79.94575223049205,0.4857764087697047,0.001059967567033665,0.8943128063072662,0,0,6.888531684014378,10.196567530049501,10.918555175493893,6.153370788951002,6.04192236758438,7.438971592395862,3,Developed,"The economy of Poland is a developed market , [ 24 ] high-income , [ 25 ] industrialized mixed economy that is the sixth-largest in the European Union by nominal GDP and fifth-largest by GDP ( PPP ). [ 26 ] Poland boasts the extensive public services characteristic of most developed economies and is one of few countries in Europe to require no tuition fees for undergraduate and postgraduate education [ 27 ] and with universal public healthcare that is free at a point of use. Since 1988, Poland has pursued a policy of economic liberalisation [ 28 ] but retained an advanced public welfare system. [ 29 ] It ranks 19th worldwide in terms of GDP (PPP) , 20th in terms of GDP (nominal) , and 21st in the 2023 Economic Complexity Index . [ 30 ] Among OECD nations, Poland has a highly efficient and strong social security system ; social expenditure stood at roughly 22.7% of GDP . [ 31 ] [ 32 ] [ 33 ]","Poland has a developed market, high-income, industrialized mixed economy, ranking sixth in the EU by nominal GDP. The country offers extensive public services, including free undergraduate and postgraduate education and universal public healthcare. Poland has pursued economic liberalization since 1988 while maintaining an advanced public welfare system, ranking 19th worldwide in GDP (PPP) and 20th in GDP (nominal). Additionally, Poland has a highly efficient social security system, with social expenditure accounting for approximately 22.7% of GDP among OECD nations."
